"usuario","textoLcu","fuente","favs","rt","lugar","seguidores","texto_original"
"DukiSSJ","Cuando tus productores sacan TEMONES 

Yesan <U+96EA><U+5C71> - Las Horas <U+6642><U+9593> vía ","Twitter for iPhone",2095,67,"LAS NUBES",2840074,"Cuando tus productores sacan TEMONES 

Yesan <U+96EA><U+5C71> - Las Horas <U+6642><U+9593> https://t.co/FQzr0yWJF9 vía @YouTube"
"emimernes_","Nadie:

Yo cuando salgo de noche:

<U+0001F441><U+FE0F>      <U+0001F441><U+FE0F>
  °  <U+0001F443><U+0001F3FC>  °
      <U+0001F444>","Twitter for iPhone",0,1369,"Argentina",1017029,"Nadie:

Yo cuando salgo de noche:

<U+0001F441><U+FE0F>      <U+0001F441><U+FE0F>
  °  <U+0001F443><U+0001F3FC>  °
      <U+0001F444>"
"kheayf","No pasa nada kea la mejor rey abrazo grande","Twitter for iPhone",0,234,"Argentina",1515685,"@kheayf @litkillaharg No pasa nada kea la mejor rey abrazo grande"
"rusherkingg","Que por más que quieras no me tienes a tus pies","Twitter for iPhone",10812,876,"Santiago del Estero, Argentina",854599,"Que por más que quieras no me tienes a tus pies"
"tiagopzk","Deja de spoilear manijaaa","Twitter for iPhone",1533,34,"",1302318,"@fukintayson Deja de spoilear manijaaa"
"PauloLondra","No se vo pero me estoy tirando altos fris a jeje","Twitter for iPhone",6937,245,"",1741703,"No se vo pero me estoy tirando altos fris a jeje"
"KiddKeo95Flames","2022 INDUSTRIAS KEO.","Twitter for iPhone",719,24,"ROCKPORT",473625,"2022 INDUSTRIAS KEO."
"tiagopzk","Obvio lo voy a tocar en el lolla porque sale antes<U+0001F440>","Twitter for iPhone",5078,61,"",1302318,"Obvio lo voy a tocar en el lolla porque sale antes<U+0001F440>"
"emimernes_","<U+0001F62D><U+0001F338> ","Twitter for iPhone",0,29617,"Argentina",1017029,"<U+0001F62D><U+0001F338> https://t.co/RHxOUIEmTn"
"MariaBecerra22","Pasenme todos los videos que tengan del show<U+0001F60D><U+0001F5A4>","Twitter for iPhone",13088,145,"",2294625,"Pasenme todos los videos que tengan del show<U+0001F60D><U+0001F5A4>"
"tiagopzk","Los inseguros confunden el respeto con estar chupándole la pija a los demás","Twitter for iPhone",0,6220,"",1302318,"Los inseguros confunden el respeto con estar chupándole la pija a los demás"
"LITkillah","ayer me dormi a las 11 de la noche, q me paso? we","Twitter for iPhone",14849,430,"Argentina",1569130,"ayer me dormi a las 11 de la noche, q me paso? we"
"LITkillah","Como olvidar esa frase tan filosofica de aristoteles que tanto me inspiro ","Twitter for iPhone",22676,1431,"Argentina",1569130,"Como olvidar esa frase tan filosofica de aristoteles que tanto me inspiro https://t.co/2UOroRtlFp"
"bizarrap","asi e mi caserío<U+0001F1F5><U+0001F1F7>","Twitter for iPhone",17930,441,"Buenos Aires, Argentina",3278395,"asi e mi caserío<U+0001F1F5><U+0001F1F7>"
"kheayf","MONTERREY ROMPIMO EL PAL NORTE KE LOCURA LOS AMOOOO<U+0001F60D><U+0001F60D><U+0001F525><U+0001F525><U+0001F525><U+0001F525><U+0001F1F2><U+0001F1FD><U+0001F498> ","Twitter for iPhone",3432,150,"Argentina",1515685,"MONTERREY ROMPIMO EL PAL NORTE KE LOCURA LOS AMOOOO<U+0001F60D><U+0001F60D><U+0001F525><U+0001F525><U+0001F525><U+0001F525><U+0001F1F2><U+0001F1FD><U+0001F498> https://t.co/991d52Waa5"
"kheayf","Que les pareció pa co? Hace mucho no me metía en un reggaetón así, toy contento","Twitter for iPhone",0,146,"Argentina",1515685,"Que les pareció pa co? Hace mucho no me metía en un reggaetón así, toy contento"
"rusherkingg","Aquí con fiebre viendo el video de entre nosotros en vivo, como la rompieron <U+2764><U+FE0F>","Twitter for iPhone",28021,425,"Santiago del Estero, Argentina",854599,"Aquí con fiebre viendo el video de entre nosotros en vivo, como la rompieron <U+2764><U+FE0F>"
"cazzuoficial","Corta ","Twitter for iPhone",2839,62,"Buenos Aires, Argentina",1653203,"Corta https://t.co/4rGj9tH5XN"
"DukiSSJ","Chile Chile","Twitter for iPhone",0,8,"LAS NUBES",2840074,"@DukiSSJ Chile Chile"
"MariaBecerra22","Te amo mi amor! Gracias por estar siempre y publicar cosas que me hace tan feliz ver","Twitter for iPhone",284,20,"",2294625,"@gwsbecerra Te amo mi amor! Gracias por estar siempre y publicar cosas que me hace tan feliz ver"
"TruenoOficiaI","23/12","Twitter for iPhone",9436,369,"Buenos Aires, Argentina",1348060,"23/12"
"tiagopzk","FMK es el mejor artista de Argentina y este año es suyo","Twitter for iPhone",44622,1125,"",1302318,"FMK es el mejor artista de Argentina y este año es suyo"
"MariaBecerra22","Es hoooooy#","Twitter for iPhone",14210,460,"",2294625,"Es hoooooy#"
"emimernes_","es tu turno mi reyyyyy","Twitter for iPhone",4890,43,"Argentina",1017029,"@big_one_real es tu turno mi reyyyyy"
"MariaBecerra22","Tan sólo dos semanas para escuchar la aclamada colaboración de Camila Cabello junto a Maria Becerra llamada “Hasta Los Dientes”. <U+0001F525>

— ¿Creen que saldrá junto al videoclip? <U+0001F60F> ","Twitter for iPhone",0,285,"",2294625,"Tan sólo dos semanas para escuchar la aclamada colaboración de Camila Cabello junto a Maria Becerra llamada “Hasta Los Dientes”. <U+0001F525>

— ¿Creen que saldrá junto al videoclip? <U+0001F60F> https://t.co/PdKWgsMRDL"
"TruenoOficiaI","Wacha linda","Twitter for iPhone",14460,318,"Buenos Aires, Argentina",1348060,"@naikinai19 Wacha linda"
"bizarrap","como se va a separar daft punk wacho tengo una bronca todavia","Twitter for iPhone",43838,2348,"Buenos Aires, Argentina",3278395,"como se va a separar daft punk wacho tengo una bronca todavia"
"emimernes_","dame loooove amameeee girl mi corazón va a mil","Twitter for iPhone",5040,113,"Argentina",1017029,"@sevenkayne @LITkillah dame loooove amameeee girl mi corazón va a mil"
"KiddKeo95Flames","TALE$ 100K #VELICO ","Twitter for iPhone",118,3,"ROCKPORT",473625,"TALE$ 100K #VELICO https://t.co/QYgRF7vFBW"
"PauloLondra","Me etoy volviendo fanatico del gin pa graba tremendo","Twitter for iPhone",29004,698,"",1741703,"Me etoy volviendo fanatico del gin pa graba tremendo"
"DukiSSJ","Voy a empezar a tocar pininfarina en el vivo","Twitter for iPhone",57456,1022,"LAS NUBES",2840073,"Voy a empezar a tocar pininfarina en el vivo"
