"usuario","textoLcu","fuente","favs","rt","lugar","seguidores","texto_original"
"cazzuoficial","YA está disponible mi Claro Session de ERROR 93 <U+0001F5A4> en el siguiente link.","Twitter for iPhone",4029,127,"Buenos Aires, Argentina",1653203,"YA está disponible mi Claro Session de ERROR 93 <U+0001F5A4> en el siguiente link."
"LITkillah","Rosariooo nos vemos en un ratito en el teatro broadway<U+0001F495> vamo a rompexx","Twitter for iPhone",8027,154,"Argentina",1569130,"Rosariooo nos vemos en un ratito en el teatro broadway<U+0001F495> vamo a rompexx"
"LITkillah","Jajaja naaaa un capo<U+2665><U+FE0F><U+2665><U+FE0F><U+2665><U+FE0F> ","Twitter for iPhone",30700,705,"Argentina",1569130,"Jajaja naaaa un capo<U+2665><U+FE0F><U+2665><U+FE0F><U+2665><U+FE0F> https://t.co/Lg0kCFCQrV"
"PauloLondra","Orgullo nacional","Twitter for iPhone",71119,2736,"",1741703,"Orgullo nacional"
"rusherkingg","Tiene el flow como dua lipa","Twitter for iPhone",10780,396,"Santiago del Estero, Argentina",854599,"Tiene el flow como dua lipa"
"bizarrap","a mi tambien me dijo el hdp","Twitter for iPhone",44757,487,"Buenos Aires, Argentina",3278395,"@DukiSSJ @LITkillah a mi tambien me dijo el hdp"
"emimernes_","vos tas demasiado bueno","Twitter for iPhone",15589,305,"Argentina",1017029,"@DukiSSJ vos tas demasiado bueno"
"DukiSSJ","Gracias por el amor hermano","Twitter for iPhone",3773,20,"LAS NUBES",2840073,"@alexand98796368 @SRfranketooo Gracias por el amor hermano"
"KiddKeo95Flames","ALICANTEEE !!! 
#FARANDULAFEST
LO DE HOY VA A SER ESPECTACULAR !! 

RECUERDA QUE AUN PODEIS SACAR VUESTRAS ULTIMAS ENTRADAS EN TAQUILLA!!","Twitter for iPhone",205,3,"ROCKPORT",473625,"ALICANTEEE !!! 
#FARANDULAFEST
LO DE HOY VA A SER ESPECTACULAR !! 

RECUERDA QUE AUN PODEIS SACAR VUESTRAS ULTIMAS ENTRADAS EN TAQUILLA!!"
"kheayf","donde estas es top 3 de mis mejores canciones si o si","Twitter for iPhone",27797,664,"Argentina",1515685,"donde estas es top 3 de mis mejores canciones si o si"
"bizarrap","llegué a la ciudad ","Twitter for iPhone",95829,2131,"Buenos Aires, Argentina",3278395,"llegué a la ciudad @dukissj https://t.co/Q0TOeVB6dD"
"PauloLondra","Gang 

#leonesconflow
#doglife 
#skrkr
#flixo
#lamanada ","Instagram",3468,126,"",1741703,"Gang 

#leonesconflow
#doglife 
#skrkr
#flixo
#lamanada https://t.co/ekVCosqs4k"
"cazzuoficial","Y aunque digan que soy… <U+0001F937><U+0001F3FB><U+200D><U+2640><U+FE0F> TURREO SESSION 9 Disponible en TODOS LAO ","Twitter for iPhone",9214,546,"Buenos Aires, Argentina",1653203,"Y aunque digan que soy… <U+0001F937><U+0001F3FB><U+200D><U+2640><U+FE0F> TURREO SESSION 9 Disponible en TODOS LAO https://t.co/xTKT9dRPhe"
"DukiSSJ","duki saliendo del estudio despues de grabar su verso en si kieren frontear ","Twitter for iPhone",0,316,"LAS NUBES",2840073,"duki saliendo del estudio despues de grabar su verso en si kieren frontear https://t.co/FuE9WjqJZM"
"KiddKeo95Flames","Hola","Twitter for iPhone",2438,127,"ROCKPORT",473625,"Hola"
"bizarrap","JAJAJAJAJA","Twitter for iPhone",5622,15,"Buenos Aires, Argentina",3278395,"@dupukepe @Martinpdisalvo JAJAJAJAJA"
"TruenoOficiaI","<U+0001F51C> 9 DE SEPTIEMBRE 19HS <U+0001F1E6><U+0001F1F7> ","Twitter for iPhone",0,201,"Buenos Aires, Argentina",1348060,"@TruenoOficiaI <U+0001F51C> 9 DE SEPTIEMBRE 19HS <U+0001F1E6><U+0001F1F7> https://t.co/MGSakM8qV9"
"rusherkingg","Tranquilooos estoy preparando algo grande <U+0001F607><U+2764><U+FE0F>","Twitter for iPhone",390,36,"Santiago del Estero, Argentina",854599,"@lobapersonal Tranquilooos estoy preparando algo grande <U+0001F607><U+2764><U+FE0F>"
"kheayf","cuando estoy borracho le pido a dios que te cuide","Twitter for iPhone",35182,4132,"Argentina",1515685,"cuando estoy borracho le pido a dios que te cuide"
"tiagopzk","<U+0001F3A6> Lit Killah contando como en los ensayos de los premios junto a Emilia y Tiago PZK, Ozuna se acercó a saludarlos ","Twitter for iPhone",0,144,"",1302318,"<U+0001F3A6> Lit Killah contando como en los ensayos de los premios junto a Emilia y Tiago PZK, Ozuna se acercó a saludarlos https://t.co/1JwZsYo3UG"
"rusherkingg","Hoy 20:00HS subo a mi canal de YouTube una versión increíble de “vos” ojalá les guste <U+2764><U+FE0F>","Twitter for iPhone",5608,194,"Santiago del Estero, Argentina",854599,"Hoy 20:00HS subo a mi canal de YouTube una versión increíble de “vos” ojalá les guste <U+2764><U+FE0F>"
"emimernes_","a todas mis gatas las voy a hacer aprender","Twitter for iPhone",12308,496,"Argentina",1017029,"a todas mis gatas las voy a hacer aprender"
"TruenoOficiaI","El 23 sacó #ÑERI como último tema de este 2020 tan raro y hermoso, gracias a todos x apoyar mis cambios, mis facetas x apoyarme haga lo q haga, por vivir y sentir el disco q sacamos, todo lo q hago es con el fin de llevar este país lo más alto que se pueda, los amo atrevidos.","Twitter for iPhone",17191,515,"Buenos Aires, Argentina",1348060,"El 23 sacó #ÑERI como último tema de este 2020 tan raro y hermoso, gracias a todos x apoyar mis cambios, mis facetas x apoyarme haga lo q haga, por vivir y sentir el disco q sacamos, todo lo q hago es con el fin de llevar este país lo más alto que se pueda, los amo atrevidos."
"kheayf","PALO ","Twitter for iPhone",6492,155,"Argentina",1515685,"PALO https://t.co/7mL4b3ikeG"
"PauloLondra","Por eso hay amor y paz paz paz ","Instagram",2626,119,"",1741703,"Por eso hay amor y paz paz paz https://t.co/HvDEhge8IR"
"PauloLondra","Gane Chi salames","Twitter for iPhone",2431,51,"",1741703,"Gane Chi salames"
"MariaBecerra22","Nos llenaba de vida y ahora esta matandonos","Twitter for iPhone",40557,3462,"",2294625,"Nos llenaba de vida y ahora esta matandonos"
"DukiSSJ","Instant karma","Twitter for iPhone",2926,35,"LAS NUBES",2840074,"@facucampazzo Instant karma"
"TruenoOficiaI","Para mi q no turro","Twitter for iPhone",722,52,"Buenos Aires, Argentina",1348060,"@DonChodis Para mi q no turro"
"KiddKeo95Flames","Me siento cansado... <U+0001F9E0>","Twitter for iPhone",3520,805,"ROCKPORT",473625,"Me siento cansado... <U+0001F9E0>"
"LITkillah","fa amigo q dificil de usar es tiktok lpm","Twitter for iPhone",37945,818,"Argentina",1569130,"fa amigo q dificil de usar es tiktok lpm"
"TruenoOficiaI","#ATREVIDOLADESPEDIDA ","Twitter for iPhone",5727,205,"Buenos Aires, Argentina",1348060,"#ATREVIDOLADESPEDIDA https://t.co/oFZlZuszT9"
"emimernes_","y me dijeron que te vieron llorando cuando toqué en un escenario","Twitter for iPhone",21675,622,"Argentina",1017029,"y me dijeron que te vieron llorando cuando toqué en un escenario"
