"usuario","textoLcu","fuente","favs","rt","lugar","seguidores","texto_original"
"DukiSSJ","Si Quieren Frontear esta 1ero en el Top 50 Argentina

felicitaciones reyes ","Twitter for iPhone",0,43,"LAS NUBES",2840074,"Si Quieren Frontear esta 1ero en el Top 50 Argentina

felicitaciones reyes @DukiSSJ @DeLaGhettoReal @quevedo https://t.co/8mShHMkog7"
"kheayf","t acordas cuando t la pase a penas la hice<U+0001F972><U+0001F972>","Twitter for iPhone",4164,47,"Argentina",1515685,"@DukiSSJ t acordas cuando t la pase a penas la hice<U+0001F972><U+0001F972>"
"bizarrap","POV: rendiste un final oral y le preguntás al profe si aprobaste ","Twitter for iPhone",0,181,"Buenos Aires, Argentina",3278395,"POV: rendiste un final oral y le preguntás al profe si aprobaste https://t.co/WbwQMomIWd"
"rusherkingg","Estoy haciendo que esa ma me diga papi","Twitter for iPhone",16751,502,"Santiago del Estero, Argentina",854599,"Estoy haciendo que esa ma me diga papi"
"bizarrap","BZRP #47 || YA DISPONIBLE<U+0001F1EA><U+0001F1F8><U+0001F1F2><U+0001F1E6><U+0001F1E6><U+0001F1F7> ","Twitter for iPhone",26522,2286,"Buenos Aires, Argentina",3278395,"BZRP #47 || @el_moraddd 

YA DISPONIBLE<U+0001F1EA><U+0001F1F8><U+0001F1F2><U+0001F1E6><U+0001F1E6><U+0001F1F7> https://t.co/NF6wBCYQ1F"
"DukiSSJ","AYUDAME A MI TAMBIEN DUKO PORFA TE AMO","Twitter for iPhone",0,46,"LAS NUBES",2840073,"@DukiSSJ https://t.co/O03mZphjYv AYUDAME A MI TAMBIEN DUKO PORFA TE AMO"
"DukiSSJ","esa costumbre argentina de encasillarnos tipo “la kali uchis argentina” te comento que me llamo chita y llevo años de mi vida buscando un sonido para q venga un raul y me diga LA KALI UCHIS ARGENTINA porke me cortas las alas broder","Twitter for iPhone",0,528,"LAS NUBES",2840073,"esa costumbre argentina de encasillarnos tipo “la kali uchis argentina” te comento que me llamo chita y llevo años de mi vida buscando un sonido para q venga un raul y me diga LA KALI UCHIS ARGENTINA porke me cortas las alas broder"
"PauloLondra","La sensación","Twitter for iPhone",1206,43,"",1741703,"@wonderwallondra La sensación"
"bizarrap",".and ""Bzrp Music Sessions, Vol. 23"" breaks the all-time single day stream record for a song on Spotify Argentina with 1.338 million streams, passing Paulo’s ""Plan A"".","Twitter for iPhone",0,188,"Buenos Aires, Argentina",3278395,".@bizarrap and @PauloLondra’s ""Bzrp Music Sessions, Vol. 23"" breaks the all-time single day stream record for a song on Spotify Argentina with 1.338 million streams, passing Paulo’s ""Plan A""."
"PauloLondra","Me etoy volviendo fanatico del gin pa graba tremendo","Twitter for iPhone",29004,698,"",1741703,"Me etoy volviendo fanatico del gin pa graba tremendo"
