"usuario","textoLcu","fuente","favs","rt","lugar","seguidores","texto_original"
"TruenoOficiaI","Aunque las masas quieran yo no soy un Justin Bieber, perdón pero las calles de mi barrio me lo impiden.","Twitter for iPhone",54695,2110,"Buenos Aires, Argentina",1348060,"Aunque las masas quieran yo no soy un Justin Bieber, perdón pero las calles de mi barrio me lo impiden."
"kheayf","ya malhumorado","Twitter for iPhone",9604,704,"Argentina",1515685,"ya malhumorado"
"kheayf","iidoo","Twitter for iPhone",22,0,"Argentina",1515685,"@Gonzanl1 @tomimella17 @svtygas iidoo"
"MariaBecerra22","<U+2665><U+FE0F><U+0001F60D><U+2665><U+FE0F> ","Twitter for iPhone",4556,88,"",2294625,"<U+2665><U+FE0F><U+0001F60D><U+2665><U+FE0F> https://t.co/gbLGWOe57p"
"DukiSSJ","Mini Hilo de canciones donde nombran a Duki:

Harry Nach - Dance B*tch Ft. LU CA

Harry Nach: ""me tienes en Modo Diablo, yo me siento como el Duki""

(1/5) ","Twitter for iPhone",0,95,"LAS NUBES",2840073,"Mini Hilo de canciones donde nombran a Duki:

Harry Nach - Dance B*tch Ft. LU CA

Harry Nach: ""me tienes en Modo Diablo, yo me siento como el Duki""

(1/5) https://t.co/ZWOgMIh3to"
"TruenoOficiaI","#ATREVIDOLADESPEDIDA","Twitter for iPhone",3609,134,"Buenos Aires, Argentina",1348060,"#ATREVIDOLADESPEDIDA"
"kheayf","El show de KHEA HOY = SEXO","Twitter for iPhone",0,286,"Argentina",1515685,"El show de KHEA HOY = SEXO"
"tiagopzk","Hablando de love, consumiéndonos","Twitter for iPhone",20081,1567,"",1302318,"Hablando de love, consumiéndonos"
"LITkillah","que temaso ese AAAAAAAA","Twitter for iPhone",12823,273,"Argentina",1569130,"@PauloLondra que temaso ese AAAAAAAA"
"cazzuoficial","Agarrame más duro papi que se sienta fuerte…","Twitter for iPhone",22931,2092,"Buenos Aires, Argentina",1653203,"Agarrame más duro papi que se sienta fuerte…"
"bizarrap","GRACIAS<U+0001F62D><U+0001F5A4> gracias por todo siempre ","Twitter for iPhone",44729,644,"Buenos Aires, Argentina",3278395,"GRACIAS<U+0001F62D><U+0001F5A4> gracias por todo siempre https://t.co/g1yuHXRNdW"
"MariaBecerra22","Gracias por tantooo<U+2665><U+FE0F><U+0001F60D><U+2665><U+FE0F><U+0001F60D><U+2665><U+FE0F> ","Twitter for iPhone",10396,253,"",2294625,"Gracias por tantooo<U+2665><U+FE0F><U+0001F60D><U+2665><U+FE0F><U+0001F60D><U+2665><U+FE0F> https://t.co/B7N1NnkgLe"
"rusherkingg","Con ganas de sacar musiquita nueva","Twitter for iPhone",9369,176,"Santiago del Estero, Argentina",854599,"Con ganas de sacar musiquita nueva"
"kheayf","se que no sentís lo mismo por mi","Twitter for iPhone",52030,8312,"Argentina",1515685,"se que no sentís lo mismo por mi"
