"usuario","textoLcu","fuente","favs","rt","lugar","seguidores","texto_original"
"DukiSSJ","Hoy cumple y es la excusa perfecta para recordar el mejor relato de la historia. ¿Sobre qué? ¿Fútbol? ¿Básquet? No. Tetris.
","Twitter for iPhone",0,3582,"LAS NUBES",2840074,"Hoy cumple @IbaiLlanos y es la excusa perfecta para recordar el mejor relato de la historia. ¿Sobre qué? ¿Fútbol? ¿Básquet? No. Tetris.
https://t.co/YHN53eTqKn"
"KiddKeo95Flames","FELICIDAD<U+0001F499> ","Twitter for iPhone",633,29,"ROCKPORT",473625,"FELICIDAD<U+0001F499> https://t.co/dhLqmPbDtp"
"DukiSSJ","Felicitaciones a mis amigos, lagrimas de emoción, yo mas q nadie se loq se merecen el slot <U+2764><U+FE0F> los amo
","Twitter for iPhone",0,553,"LAS NUBES",2840073,"Felicitaciones a mis amigos, lagrimas de emoción, yo mas q nadie se loq se merecen el slot <U+2764><U+FE0F> los amo
@roxfps @dgtcsgo @maxgzez @dav1dcs1 @zakkfps @LuknCSGO @FrankkasterX @FelipeCalligo"
"MariaBecerra22","camila cabello x maria becerra en solo DOS SEMANAS ","Twitter for iPhone",0,299,"",2294625,"camila cabello x maria becerra en solo DOS SEMANAS https://t.co/1usntHNFa2"
"emimernes_","CUAL PREFERIS DE EMILIA?","Twitter for iPhone",0,76,"Argentina",1017029,"CUAL PREFERIS DE EMILIA?"
"rusherkingg","Como la rompió cazzu<U+0001F44F><U+0001F44F><U+0001F44F>","Twitter for iPhone",16360,274,"Santiago del Estero, Argentina",854599,"Como la rompió cazzu<U+0001F44F><U+0001F44F><U+0001F44F>"
"emimernes_","estamos en la cuenta regresiva <U+0001F552><U+0001F550>","Twitter for iPhone",7167,205,"Argentina",1017029,"estamos en la cuenta regresiva <U+0001F552><U+0001F550>"
"DukiSSJ","TODOS DENLE REUTIT ASÍ LE DAN DOS ENTRADAS VIP PA CONOCERME EN RIVERLAND, SI LOS CONSIGUE LE DOY DOS MÁS <U+2764><U+FE0F><U+0001F60E> ","Twitter for iPhone",7361,570,"LAS NUBES",2840074,"TODOS DENLE REUTIT ASÍ LE DAN DOS ENTRADAS VIP PA CONOCERME EN RIVERLAND, SI LOS CONSIGUE LE DOY DOS MÁS <U+2764><U+FE0F><U+0001F60E> https://t.co/3OJatJB6oi"
"LITkillah","FELIZ 2022, se pika enero con el REMIX de ENTRE NOSOTROS ft ??????? &amp; ??????","Twitter for iPhone",44548,1356,"Argentina",1569130,"FELIZ 2022, se pika enero con el REMIX de ENTRE NOSOTROS @tiagopzk @LITkillah ft ??????? &amp; ??????"
"KiddKeo95Flames","Acudir a un concierto de kidd keo ","Twitter for iPhone",0,20,"ROCKPORT",473625,"Acudir a un concierto de kidd keo https://t.co/OtRcb7MZYa"
"tiagopzk","Que problema siempre sentirte un problema","Twitter for iPhone",30202,5281,"",1302318,"Que problema siempre sentirte un problema"
"emimernes_","había desaparecido xq me intoxiqué. siempre triunfando","Twitter for iPhone",25675,273,"Argentina",1017029,"había desaparecido xq me intoxiqué. siempre triunfando"
