"usuario","textoLcu","fuente","favs","rt","lugar","seguidores","texto_original"
"tiagopzk","IDENTICO!!!!!!!! ","Twitter for iPhone",76206,1179,"",1302318,"IDENTICO!!!!!!!! https://t.co/fQLrM7o9Jl"
"PauloLondra","Hay que perder el miedo a las alturas si queremos el cielo","Twitter for iPhone",71035,11574,"",1741703,"Hay que perder el miedo a las alturas si queremos el cielo"
"tiagopzk","BABY DIMELOOOOOO O O O OOOOO, TIAGO ESTA EN PUNGA MIRA COMO SE MUEVE PA TODOS LADOS DIOS ","Twitter for iPhone",0,515,"",1302318,"BABY DIMELOOOOOO O O O OOOOO, TIAGO ESTA EN PUNGA MIRA COMO SE MUEVE PA TODOS LADOS DIOS https://t.co/DWpgGqMLDM"
"TruenoOficiaI","Si al 2020 le dimos al 2021 lo hacemos pollo","Twitter for iPhone",20334,1106,"Buenos Aires, Argentina",1348060,"Si al 2020 le dimos al 2021 lo hacemos pollo"
"emimernes_","me autoregalé un huevo de pascuas porque nadie me va a comprar uno","Twitter for iPhone",57805,3262,"Argentina",1017029,"me autoregalé un huevo de pascuas porque nadie me va a comprar uno"
"TruenoOficiaI","<U+0001F5A4><U+0001F970>","Twitter for iPhone",11364,153,"Buenos Aires, Argentina",1348060,"@naikinai19 <U+0001F5A4><U+0001F970>"
"DukiSSJ","El temon ke hicimo con el , miércoles 20 hs <U+0001F608><U+0001F4AA><U+0001F3FD>","Twitter for iPhone",18900,707,"LAS NUBES",2840074,"El temon ke hicimo con el @danielribba , miércoles 20 hs <U+0001F608><U+0001F4AA><U+0001F3FD>"
"kheayf","<U+0001F4F8> KHEA vía nachobzn ","Twitter for iPhone",0,77,"Argentina",1515685,"<U+0001F4F8> KHEA vía nachobzn https://t.co/VKKbFklXFZ"
"tiagopzk","Doña no me alcanza la pelota?","Twitter for iPhone",6159,96,"",1302318,"@rusherkingg Doña no me alcanza la pelota?"
"kheayf","Y A SU NOVIO SE LE ESCAPO","Twitter for iPhone",4280,54,"Argentina",1515685,"@rusherkingg Y A SU NOVIO SE LE ESCAPO"
"DukiSSJ","Hoy se cumplen 4 años del lanzamiento del Bizarrap Remix de ""Wanda Nara""<U+0001F4A5> ","Twitter for iPhone",0,794,"LAS NUBES",2840074,"Hoy se cumplen 4 años del lanzamiento del Bizarrap Remix de ""Wanda Nara""<U+0001F4A5> https://t.co/zrGQldAzTT"
"bizarrap","Cómo mejoró biza los últimos dos años no tiene sentido","Twitter for iPhone",0,761,"Buenos Aires, Argentina",3278395,"Cómo mejoró biza los últimos dos años no tiene sentido"
"bizarrap","YA ESTÁ EN SPOTIFY 

","Twitter for iPhone",27238,1201,"Buenos Aires, Argentina",3278395,"YA ESTÁ EN SPOTIFY 

https://t.co/oa9ONejkdl"
"KiddKeo95Flames","VUELVEN LOS TRAPPOS.","Twitter for iPhone",772,22,"ROCKPORT",473625,"VUELVEN LOS TRAPPOS."
"emimernes_","te puse un stop pa bajar tu autoestima <U+0001F974>","Twitter for iPhone",5850,100,"Argentina",1017029,"@Martinpdisalvo te puse un stop pa bajar tu autoestima <U+0001F974>"
"tiagopzk","Deja de spoilear manijaaa","Twitter for iPhone",1533,34,"",1302318,"@fukintayson Deja de spoilear manijaaa"
"kheayf","uff idooo","Twitter for iPhone",72,1,"Argentina",1515685,"@MEUMAIPU @LITkillah uff idooo"
"MariaBecerra22","SUELTA OUT NOW <U+0001F525><U+0001F525> ","Twitter for iPhone",4021,259,"",2294625,"SUELTA OUT NOW <U+0001F525><U+0001F525> https://t.co/pMe6lIhD6R"
"KiddKeo95Flames","ESTABA CENANDO, de vuelta en TWITCH !!! ","Streamlabs Twitter",146,1,"ROCKPORT",473625,"ESTABA CENANDO, de vuelta en TWITCH !!! https://t.co/lCq2cnqbJf"
