"usuario","textoLcu","fuente","favs","rt","lugar","seguidores","texto_original"
"kheayf","tu eres como medio crazy pero mejor k muchas por ahiii","Twitter for iPhone",0,990,"Argentina",1515685,"tu eres como medio crazy pero mejor k muchas por ahiii"
"DukiSSJ","MAÑANAAAAAA","Twitter for iPhone",0,133,"LAS NUBES",2840074,"MAÑANAAAAAA"
"rusherkingg","Acústico de te prometí","Twitter for iPhone",6101,136,"Santiago del Estero, Argentina",854599,"Acústico de te prometí"
"bizarrap","asi e mi caserío<U+0001F1F5><U+0001F1F7>","Twitter for iPhone",17930,441,"Buenos Aires, Argentina",3278395,"asi e mi caserío<U+0001F1F5><U+0001F1F7>"
"DukiSSJ","Y Chile pa cuando :(","Twitter for iPhone",0,9,"LAS NUBES",2840074,"@DukiSSJ Y Chile pa cuando :("
"DukiSSJ","<U+0001F91D>","Twitter for iPhone",0,12,"LAS NUBES",2840073,"@DukiSSJ @LuknCSGO <U+0001F91D>"
"bizarrap","así q se filtró?? bueno, sale hoy entonces<U+0001F62E><U+200D><U+0001F4A8>feliz fin de año<U+0001F384><U+0001F381>

","Twitter for iPhone",108065,5689,"Buenos Aires, Argentina",3278395,"así q se filtró?? bueno, sale hoy entonces<U+0001F62E><U+200D><U+0001F4A8>feliz fin de año<U+0001F384><U+0001F381>

https://t.co/tHyK5GwaS0 https://t.co/SuxW94YruR"
"LITkillah","Que peliculon kung fu panda","Twitter for iPhone",35603,2110,"Argentina",1569130,"Que peliculon kung fu panda"
"kheayf","pensándote así estés en otro continente","Twitter for iPhone",0,264,"Argentina",1515685,"pensándote así estés en otro continente"
"MariaBecerra22","Feliz cumpleaños hermosa<U+0001F60D><U+2665><U+FE0F> ","Twitter for iPhone",3621,61,"",2294625,"Feliz cumpleaños hermosa<U+0001F60D><U+2665><U+FE0F> https://t.co/rR52j5rMAp"
"DukiSSJ","De unaaa , pero si me toca con ARGENTINA me dejo perder aviso","Twitter for iPhone",1530,21,"LAS NUBES",2840073,"@gonchobanzas @LuknCSGO De unaaa , pero si me toca con ARGENTINA me dejo perder aviso"
"LITkillah","#LaTrampaEsLey esta numero #1 en el top 50 argentino!! muchas gracias esto es una locuraaaa llego a buenos aires y me rompo ese challenge eee","Twitter for iPhone",18140,653,"Argentina",1569130,"#LaTrampaEsLey esta numero #1 en el top 50 argentino!! muchas gracias esto es una locuraaaa llego a buenos aires y me rompo ese challenge eee"
"PauloLondra","Orgullo nacional","Twitter for iPhone",71119,2736,"",1741703,"Orgullo nacional"
"PauloLondra","Tengo diez millones de seguidores en insta loco dame un ferne y no me joda","Twitter for iPhone",87759,2013,"",1741703,"Tengo diez millones de seguidores en insta loco dame un ferne y no me joda"
"bizarrap","gracias México<U+203C><U+FE0F><U+0001F1F2><U+0001F1FD><U+0001F5A4> ","Twitter for iPhone",20930,598,"Buenos Aires, Argentina",3278395,"gracias México<U+203C><U+FE0F><U+0001F1F2><U+0001F1FD><U+0001F5A4> https://t.co/bsQHJwC5gi"
"DukiSSJ","NOS VEMOS EN PERU MI GENTE BONITA muy contento de anunciarles que el 9 de Septiembre nos volvemos a ver en el Anfiteatro de la Exposición en Lima. Este miércoles 10 am Peru salen a la venta las entradas.","Twitter for iPhone",15070,868,"LAS NUBES",2840074,"NOS VEMOS EN PERU MI GENTE BONITA muy contento de anunciarles que el 9 de Septiembre nos volvemos a ver en el Anfiteatro de la Exposición en Lima. Este miércoles 10 am Peru salen a la venta las entradas."
"tiagopzk","ARGENTINA EN LA CASA LA CONCHA DE LA LORA","Twitter for iPhone",29876,1002,"",1302318,"ARGENTINA EN LA CASA LA CONCHA DE LA LORA"
"bizarrap","EAAAA<U+0001F60E><U+0001F9E2> ","Twitter for iPhone",14853,297,"Buenos Aires, Argentina",3278395,"EAAAA<U+0001F60E><U+0001F9E2> https://t.co/MCTkBdXcH7"
"tiagopzk","Los Lollapalooza de Argentina y Chile fueron increíbles, queda mucho por mejorar pero recién arrancamos<U+2764><U+FE0F><U+200D><U+0001F525><U+0001F92B>","Twitter for iPhone",17410,255,"",1302318,"Los Lollapalooza de Argentina y Chile fueron increíbles, queda mucho por mejorar pero recién arrancamos<U+2764><U+FE0F><U+200D><U+0001F525><U+0001F92B>"
"emimernes_","a las 19 hs regalito en youtube ","Twitter for iPhone",3159,185,"Argentina",1017029,"a las 19 hs regalito en youtube https://t.co/LV9gLo7VKC"
"emimernes_","hoy nos vemos LAS GRUTAS <U+0001F9F8><U+0001F90D>","Twitter for iPhone",15517,186,"Argentina",1017029,"hoy nos vemos LAS GRUTAS <U+0001F9F8><U+0001F90D>"
"rusherkingg","SÚBELE EL VOLUMEN","Twitter for iPhone",6279,169,"Santiago del Estero, Argentina",854599,"SÚBELE EL VOLUMEN"
"MariaBecerra22","<U+0001F97A><U+0001F97A><U+0001F62D> ","Twitter for iPhone",4949,123,"",2294625,"<U+0001F97A><U+0001F97A><U+0001F62D> https://t.co/fdY7wwqE7g"
"DukiSSJ","Llegue tarde perdón , felices 18 gracias por el aguante, mucho amor","Twitter for iPhone",4372,21,"LAS NUBES",2840073,"@highdarIing Llegue tarde perdón , felices 18 gracias por el aguante, mucho amor"
"rusherkingg","JAJAJAJAJAJAJA TKM","Twitter for iPhone",1359,24,"Santiago del Estero, Argentina",854599,"@Dementardox JAJAJAJAJAJAJA TKM"
"MariaBecerra22","que temazo wow wow loco","Twitter for iPhone",0,252,"",2294625,"que temazo wow wow loco"
"PauloLondra","Voy ganando 3 a 0 derrotas  skrs","Twitter for iPhone",2778,49,"",1741703,"Voy ganando 3 a 0 derrotas  skrs"
"bizarrap","Y A LA PISTA LA PARTIÓ","Twitter for iPhone",20680,389,"Buenos Aires, Argentina",3278395,"@tiagopzk Y A LA PISTA LA PARTIÓ"
"DukiSSJ","2x1 vs 00nation. seguimos en pie loco, vamos carajo.","Twitter for iPhone",0,230,"LAS NUBES",2840074,"2x1 vs 00nation. seguimos en pie loco, vamos carajo."
"rusherkingg","mira este video es re adictivo jajsjsj

 ","Twitter for iPhone",0,81,"Santiago del Estero, Argentina",854599,"@rusherkingg mira este video es re adictivo jajsjsj

 https://t.co/5KEWk6Ws5n"
"KiddKeo95Flames","Las cosas a su debido tiempo.","Twitter for iPhone",0,13,"ROCKPORT",473625,"@KiddKeo95Flames Las cosas a su debido tiempo."
