"usuario","textoLcu","fuente","favs","rt","lugar","seguidores","texto_original"
"PauloLondra","Siempre ready pal game 
#leonesconflow 
#adidassuperestar
#ChangeIsATeamSport
adidasar ","Instagram",2365,103,"",1741703,"Siempre ready pal game 
#leonesconflow 
#adidassuperestar
#ChangeIsATeamSport
adidasar https://t.co/sK6NSvW0ym"
"LITkillah","Jajajajja es buenisimo t lo voy a robar permiso ","Twitter for iPhone",38905,2289,"Argentina",1569130,"Jajajajja es buenisimo t lo voy a robar permiso https://t.co/TcWoRwRxPa"
"tiagopzk","Yo a vos mucho hermanito","Twitter for iPhone",149,4,"",1302318,"@Kin_4r Yo a vos mucho hermanito"
"LITkillah","PODEMOS HABLAR DE LA PRODUCCIÓN DE CHANGE? miren esas luces, la banda, todo perfectamente sincronizado, lit killah te volaste hdp ","Twitter for iPhone",0,146,"Argentina",1569130,"PODEMOS HABLAR DE LA PRODUCCIÓN DE CHANGE? miren esas luces, la banda, todo perfectamente sincronizado, lit killah te volaste hdp https://t.co/ICouR6PZgu"
"DukiSSJ","Parece ke funcionó.","Twitter for iPhone",945,13,"LAS NUBES",2840074,"@dukillah Parece ke funcionó."
"KiddKeo95Flames","Miiierda, se me había olvidado anunciar lo nuevo de KEO COUTURE !Lo teneis en la pagina pero aún no podeis comprar, es un nuevo Proyecto. #RR ","Twitter for iPhone",149,5,"ROCKPORT",473625,"Miiierda, se me había olvidado anunciar lo nuevo de KEO COUTURE !Lo teneis en la pagina pero aún no podeis comprar, es un nuevo Proyecto. #RR https://t.co/MjmjKPl45M"
"MariaBecerra22","Hoy 20 pm les tengo una noticiaaa<U+2665><U+FE0F><U+2665><U+FE0F><U+2665><U+FE0F>","Twitter for iPhone",17192,374,"",2294625,"Hoy 20 pm les tengo una noticiaaa<U+2665><U+FE0F><U+2665><U+FE0F><U+2665><U+FE0F>"
"PauloLondra","Fluye","Twitter for iPhone",10079,846,"",1741703,"Fluye"
"DukiSSJ","vs 00nation mañana a las 6:00 a.m <U+0001F1E6><U+0001F1F7> bo3<U+0001F525><U+0001F525>","Twitter for iPhone",0,89,"LAS NUBES",2840073,"vs 00nation mañana a las 6:00 a.m <U+0001F1E6><U+0001F1F7> bo3<U+0001F525><U+0001F525>"
"TruenoOficiaI","Cállado","Twitter for iPhone",12816,664,"Buenos Aires, Argentina",1348060,"Cállado"
"kheayf","cuando estoy borracho le pido a dios que te cuide","Twitter for iPhone",35182,4132,"Argentina",1515685,"cuando estoy borracho le pido a dios que te cuide"
"LITkillah","El mejor tema del duko lejos ese uffffff","Twitter for iPhone",4836,88,"Argentina",1569130,"@DukiSSJ @mileXgilasa El mejor tema del duko lejos ese uffffff"
"LITkillah","Nuevo sueño desbloqueado: tener un perro Doberman y ponerle “Doberto”","Twitter for iPhone",38655,1317,"Argentina",1569130,"Nuevo sueño desbloqueado: tener un perro Doberman y ponerle “Doberto”"
"rusherkingg","Ahora somos 3<U+2764><U+FE0F><U+0001F97A> ","Twitter for iPhone",5614,173,"Santiago del Estero, Argentina",854599,"Ahora somos 3<U+2764><U+FE0F><U+0001F97A> https://t.co/Rc5p7sqrYc"
"cazzuoficial","Bue, dejá.","Twitter for iPhone",19760,3699,"Buenos Aires, Argentina",1653203,"Bue, dejá."
"tiagopzk","K discazo oscuro extasis","Twitter for iPhone",17715,1756,"",1302318,"K discazo oscuro extasis"
"PauloLondra","Solo con poder mirarte","Twitter for iPhone",27080,2022,"",1741703,"Solo con poder mirarte"
"MariaBecerra22","<U+0001F485><U+0001F3FC>","Twitter for iPhone",909,35,"",2294625,"@wybecerra <U+0001F485><U+0001F3FC>"
"PauloLondra","Sería lindo vernos a todos mas unidos","Twitter for iPhone",16438,1335,"",1741703,"Sería lindo vernos a todos mas unidos"
"TruenoOficiaI","17/02 Ultimo corte del disco primer perreo argentino <U+0001F618><U+0001F618>","Twitter for iPhone",12759,518,"Buenos Aires, Argentina",1348060,"17/02 Ultimo corte del disco primer perreo argentino <U+0001F618><U+0001F618>"
"rusherkingg","Me lo dicen seguido gracias","Twitter for iPhone",6610,86,"Santiago del Estero, Argentina",854599,"@kheayf Me lo dicen seguido gracias"
