"usuario","textoLcu","fuente","favs","rt","lugar","seguidores","texto_original"
"MariaBecerra22","Asi estoy leyendo sus comentarios ","Twitter for iPhone",83333,885,"",2294625,"Asi estoy leyendo sus comentarios https://t.co/YEJhC9dJad"
"emimernes_","qué locura todo lo que está pasando con nuestra Argentina. el corazón me estalla de orgullo","Twitter for iPhone",19051,428,"Argentina",1017029,"qué locura todo lo que está pasando con nuestra Argentina. el corazón me estalla de orgullo"
"rusherkingg","Dale que estamo esperándolo hace una banda nosotros","Twitter for iPhone",2556,44,"Santiago del Estero, Argentina",854599,"@FMK026 Dale que estamo esperándolo hace una banda nosotros"
"PauloLondra","Bueno es hoy la champlay Loco tirenme aguante carajo","Twitter for iPhone",7294,194,"",1741703,"Bueno es hoy la champlay Loco tirenme aguante carajo"
"DukiSSJ","Mañana todos arriba devuelta 6AM DALEEEEEEEEEE","Twitter for iPhone",0,76,"LAS NUBES",2840073,"Mañana todos arriba devuelta 6AM DALEEEEEEEEEE"
"DukiSSJ","6AM MAÑANA

9Z vs 00NATION

Todo por: ","Twitter for iPhone",0,20,"LAS NUBES",2840074,"6AM MAÑANA

9Z vs 00NATION

Todo por: https://t.co/PdRsTCQcnH"
"emimernes_","chicos yo toy en mi casaaa <U+0001F602>","Twitter for iPhone",499,17,"Argentina",1017029,"@CAAwards chicos yo toy en mi casaaa <U+0001F602>"
"rusherkingg","Noooo este finde trabajo, estoy con muchos ensayos y proyectos que ya se van a enterar <U+2764><U+FE0F>","Twitter for iPhone",156,8,"Santiago del Estero, Argentina",854599,"@dukoyouking Noooo este finde trabajo, estoy con muchos ensayos y proyectos que ya se van a enterar <U+2764><U+FE0F>"
"kheayf","gracias a mis fans. <U+2764><U+FE0F>","Twitter for iPhone",11934,202,"Argentina",1515685,"gracias a mis fans. <U+2764><U+FE0F>"
"PauloLondra","Ojalá 2021","Twitter for iPhone",41207,3613,"",1741703,"Ojalá 2021"
"kheayf","Yo escuchando Pa Co ","Twitter for iPhone",0,261,"Argentina",1515685,"Yo escuchando Pa Co @kheayf https://t.co/vKOD1wbQ5Q"
"DukiSSJ","Instant karma","Twitter for iPhone",2926,35,"LAS NUBES",2840074,"@facucampazzo Instant karma"
"cazzuoficial","Aiiiii <U+2620><U+FE0F> ","Twitter for iPhone",2614,92,"Buenos Aires, Argentina",1653203,"Aiiiii <U+2620><U+FE0F> https://t.co/L3RITJBVgw"
"kheayf","dale vro saludos","Twitter for iPhone",2914,35,"Argentina",1515685,"@LITkillah @litkillaharg dale vro saludos"
"MariaBecerra22","Maria Becerra cantando “Episodios” en la Fiesta del Lago. ","Twitter for iPhone",0,182,"",2294625,"Maria Becerra cantando “Episodios” en la Fiesta del Lago. https://t.co/Fsyyu9EOGV"
"TruenoOficiaI","Si al 2020 le dimos al 2021 lo hacemos pollo","Twitter for iPhone",20334,1106,"Buenos Aires, Argentina",1348060,"Si al 2020 le dimos al 2021 lo hacemos pollo"
"DukiSSJ","CERRA EL ORTO GIL, VOY A JUGAR CON ECUADOR IMBECIL MALA LECHE","Twitter for iPhone",1006,14,"LAS NUBES",2840074,"@Dementardox @gonchobanzas @LuknCSGO CERRA EL ORTO GIL, VOY A JUGAR CON ECUADOR IMBECIL MALA LECHE"
"cazzuoficial","La #1","Twitter for iPhone",1104,26,"Buenos Aires, Argentina",1653203,"@Juancin127 La #1"
"bizarrap","10 años de El Quinto Escalón &lt;3 ","Twitter for iPhone",0,3713,"Buenos Aires, Argentina",3278395,"10 años de El Quinto Escalón &lt;3 https://t.co/rsILBIVQoL"
"rusherkingg","Por fin en casa<U+2764><U+FE0F>","Twitter for iPhone",5497,82,"Santiago del Estero, Argentina",854599,"Por fin en casa<U+2764><U+FE0F>"
"DukiSSJ","FRANCIAAAA <U+0001F1EB><U+0001F1F7><U+2764><U+FE0F><U+2764><U+FE0F>","Twitter for iPhone",0,9,"LAS NUBES",2840074,"@DukiSSJ FRANCIAAAA <U+0001F1EB><U+0001F1F7><U+2764><U+FE0F><U+2764><U+FE0F>"
"emimernes_","emilia viernes","Twitter for iPhone",67826,1503,"Argentina",1017029,"emilia viernes"
"TruenoOficiaI","17/02 Ultimo corte del disco primer perreo argentino <U+0001F618><U+0001F618>","Twitter for iPhone",12759,518,"Buenos Aires, Argentina",1348060,"17/02 Ultimo corte del disco primer perreo argentino <U+0001F618><U+0001F618>"
"cazzuoficial","Ojalá nos veamos pronto <U+0001F60D>","Twitter for iPhone",162,14,"Buenos Aires, Argentina",1653203,"@cazzuemo93 Ojalá nos veamos pronto <U+0001F60D>"
"LITkillah","LA ROMPIERON! La mejor sorpresa<U+0001F97A><U+2764><U+FE0F> los amo","Twitter for iPhone",923,74,"Argentina",1569130,"@cuatroveinte4M LA ROMPIERON! La mejor sorpresa<U+0001F97A><U+2764><U+FE0F> los amo"
