"usuario","textoLcu","fuente","favs","rt","lugar","seguidores","texto_original"
"KiddKeo95Flames","Pa Chile con Anuel, BRRR.","Twitter for iPhone",1792,49,"ROCKPORT",473625,"Pa Chile con Anuel, BRRR."
"rusherkingg","Que temazo now lpm","Twitter for iPhone",0,1406,"Santiago del Estero, Argentina",854599,"Que temazo now lpm"
"DukiSSJ","AJAJAJAJ ke hdp","Twitter for iPhone",1529,24,"LAS NUBES",2840073,"@aguantemessi22 @ThisIsDuki @emimernes_ AJAJAJAJ ke hdp"
"MariaBecerra22","Mi próximo álbum no tiene sentido…cuanto progreso<U+0001F60D><U+0001F62D><U+2665><U+FE0F><U+0001F64F><U+0001F3FD> se nota tanto mi cambio personal y profesional. Y el crecimiento bestial de todos los involucrados <U+0001F97A> que felicidad","Twitter for iPhone",27846,690,"",2294625,"Mi próximo álbum no tiene sentido…cuanto progreso<U+0001F60D><U+0001F62D><U+2665><U+FE0F><U+0001F64F><U+0001F3FD> se nota tanto mi cambio personal y profesional. Y el crecimiento bestial de todos los involucrados <U+0001F97A> que felicidad"
"bizarrap",".has scored his biggest hit yet on the Billboard global charts. <U+0001F44F> 

","Twitter for iPhone",0,70,"Buenos Aires, Argentina",3278395,".@bizarrap has scored his biggest hit yet on the Billboard global charts. <U+0001F44F> 

https://t.co/zqfEcRUayj"
"bizarrap","shaquille sin kobe no ganaba el campeonato<U+0001F629><U+26F9><U+0001F3FB><U+200D><U+2642><U+FE0F>","Twitter for iPhone",24428,699,"Buenos Aires, Argentina",3278395,"shaquille sin kobe no ganaba el campeonato<U+0001F629><U+26F9><U+0001F3FB><U+200D><U+2642><U+FE0F>"
"LITkillah","Alguien se habra diafrazado de mi en halloween? <U+0001F97A>","Twitter for iPhone",21877,281,"Argentina",1569130,"Alguien se habra diafrazado de mi en halloween? <U+0001F97A>"
"PauloLondra","Solo quiero mi ferne para andar sofresh sofresh so clean 

Necesitando esto 

#leonesconflow
#thelifeofpaulo
#sofresh ","Instagram",4931,244,"",1741703,"Solo quiero mi ferne para andar sofresh sofresh so clean 

Necesitando esto 

#leonesconflow
#thelifeofpaulo
#sofresh https://t.co/P9HUYhwKXn"
"emimernes_","yendo SAN LUIS <U+0001F9F8><U+0001F496>","Twitter for iPhone",11204,172,"Argentina",1017029,"yendo SAN LUIS <U+0001F9F8><U+0001F496>"
"DukiSSJ","DUKI x QUEVEDO x DE LA GHETTO <U+0001F1E6><U+0001F1F7><U+0001F1EE><U+0001F1E8><U+0001F1F5><U+0001F1F7><U+0001F4A5>

<U+0001F4C5>Fecha de lanzamiento: 31 de marzo

""Si kieren frontiar"" es el próximo adelanto de ""Temporada de Reggaeton 2""<U+0001F4BF><U+0001F525> ","Twitter for iPhone",0,447,"LAS NUBES",2840074,"DUKI x QUEVEDO x DE LA GHETTO <U+0001F1E6><U+0001F1F7><U+0001F1EE><U+0001F1E8><U+0001F1F5><U+0001F1F7><U+0001F4A5>

<U+0001F4C5>Fecha de lanzamiento: 31 de marzo

""Si kieren frontiar"" es el próximo adelanto de ""Temporada de Reggaeton 2""<U+0001F4BF><U+0001F525> https://t.co/Dzx34kwkIw"
"tiagopzk","Bomboonaa","Twitter for iPhone",37573,2472,"",1302318,"Bomboonaa"
"rusherkingg","Que recuerdos cuando de pibito me escapaba por el techo de mi casa para ver a una loquita con la que andaba, después pinchó, pero yo la rompía saltando","Twitter for iPhone",11664,181,"Santiago del Estero, Argentina",854599,"Que recuerdos cuando de pibito me escapaba por el techo de mi casa para ver a una loquita con la que andaba, después pinchó, pero yo la rompía saltando"
"PauloLondra","Que sarpado verlo a mcklopedia pa no saben los raps que se soltó el master","Twitter for iPhone",4800,152,"",1741703,"Que sarpado verlo a mcklopedia pa no saben los raps que se soltó el master"
"emimernes_","a todas mis gatas las voy a hacer aprender","Twitter for iPhone",0,496,"Argentina",1017029,"a todas mis gatas las voy a hacer aprender"
"tiagopzk","Los dos sabemos lo que es la traición, pero sabemos que no vamos a traicionarnos","Twitter for iPhone",19871,1756,"",1302318,"Los dos sabemos lo que es la traición, pero sabemos que no vamos a traicionarnos"
"PauloLondra","Quiero saber algo seriamente. Estas en una fiesta pones música y arrancas con ... <U+0001F913><U+0001F913>","Twitter for iPhone",7510,282,"",1741703,"Quiero saber algo seriamente. Estas en una fiesta pones música y arrancas con ... <U+0001F913><U+0001F913>"
"kheayf","confirmo","Twitter for iPhone",109,2,"Argentina",1515685,"@Tygas_03 @arseovo confirmo"
"tiagopzk","K ganas de cantar hablando de love en un tiny desk","Twitter for iPhone",9545,245,"",1302318,"K ganas de cantar hablando de love en un tiny desk"
"kheayf","tengo ke volver a entrenar fok","Twitter for iPhone",7758,536,"Argentina",1515685,"tengo ke volver a entrenar fok"
"rusherkingg","Yo sé que  tu tu tu siente de todo cuando bailo así si si","Twitter for iPhone",8374,474,"Santiago del Estero, Argentina",854599,"Yo sé que  tu tu tu siente de todo cuando bailo así si si"
"DukiSSJ","GrCiss Alexander jefe de la vida","Twitter for iPhone",58,3,"LAS NUBES",2840073,"@alexand98796368 @LeiterSSJ GrCiss Alexander jefe de la vida"
