"usuario","textoLcu","fuente","favs","rt","lugar","seguidores","texto_original"
"DukiSSJ","Ke PALASO daddy yankee Ta nuevo","Twitter for iPhone",9377,151,"LAS NUBES",2840074,"Ke PALASO daddy yankee Ta nuevo"
"rusherkingg","Estar seguro de uno mismo es fundamental","Twitter for iPhone",9733,835,"Santiago del Estero, Argentina",854599,"Estar seguro de uno mismo es fundamental"
"MariaBecerra22","Ya tamos fuera con “Te Espero” <U+0001F60D><U+2665><U+FE0F><U+0001F64F><U+0001F3FD> ","Twitter for iPhone",3907,350,"",2294625,"Ya tamos fuera con “Te Espero” <U+0001F60D><U+2665><U+FE0F><U+0001F64F><U+0001F3FD> https://t.co/MvqIMd2NIR @PrinceRoyce"
"tiagopzk","Ni en mi mejor momento tengo necesidad de frontear, disfruten el momento con los suyos, más na<U+2764><U+FE0F>","Twitter for iPhone",24070,988,"",1302318,"Ni en mi mejor momento tengo necesidad de frontear, disfruten el momento con los suyos, más na<U+2764><U+FE0F>"
"MariaBecerra22","Más de 100 MIL personas presenciando el show de Maria Becerra en la Fiesta Nacional de la Manzana hoy. ","Twitter for iPhone",0,155,"",2294625,"Más de 100 MIL personas presenciando el show de Maria Becerra en la Fiesta Nacional de la Manzana hoy. https://t.co/sPEZbVZ0sF"
"emimernes_","pasen lindo y no tiren pirotecnia xfiss","Twitter for iPhone",43758,5679,"Argentina",1017029,"pasen lindo y no tiren pirotecnia xfiss"
"tiagopzk","<U+0001F4F7>| Tiago junto a Delaossa y Kiddo Manteca en la Bresh de Madrid <U+0001F1EA><U+0001F1E6> ","Twitter for iPhone",0,48,"",1302318,"<U+0001F4F7>| Tiago junto a Delaossa y Kiddo Manteca en la Bresh de Madrid <U+0001F1EA><U+0001F1E6> https://t.co/rZLvT4qv6I"
"MariaBecerra22","Es un temon de Sofi y yooo<U+2665><U+FE0F>","Twitter for iPhone",3427,40,"",2294625,"@Martinpdisalvo Es un temon de Sofi y yooo<U+2665><U+FE0F>"
"DukiSSJ","JAJAJAJAJA LA PUTA MAdre","Twitter for iPhone",1759,16,"LAS NUBES",2840074,"@luchoforg1 JAJAJAJAJA LA PUTA MAdre"
"TruenoOficiaI","ARGENTINA EN LA CANCHA <U+0001F1E6><U+0001F1F7>","Twitter for iPhone",15605,873,"Buenos Aires, Argentina",1348060,"ARGENTINA EN LA CANCHA <U+0001F1E6><U+0001F1F7>https://t.co/M3kxwF5gZD"
"rusherkingg","JAJAJAJAJA PAJINNN","Twitter for iPhone",5067,62,"Santiago del Estero, Argentina",854599,"@tiagopzk JAJAJAJAJA PAJINNN"
"DukiSSJ","Estimados, hagamos que todo esto valga la pena. Ayer él se jugó la vida por nosotros y hoy necesita nuestra ayuda.

Fin.

Miguel Ángel González
Banco de la Nación Argentina
CBU: 0110349430034905208183
Alias: LEON.BURRO.MANDO

USDT (BSC): 0x7b74054d60dcd006300c75c27062d4f4d349e4ae ","Twitter for iPhone",0,5705,"LAS NUBES",2840074,"Estimados, hagamos que todo esto valga la pena. Ayer él se jugó la vida por nosotros y hoy necesita nuestra ayuda.

Fin.

Miguel Ángel González
Banco de la Nación Argentina
CBU: 0110349430034905208183
Alias: LEON.BURRO.MANDO

USDT (BSC): 0x7b74054d60dcd006300c75c27062d4f4d349e4ae https://t.co/fOzPQbYjFb"
"cazzuoficial","El mejor rapero de habla hispana, por? ","Twitter for iPhone",2467,283,"Buenos Aires, Argentina",1653203,"El mejor rapero de habla hispana, por? https://t.co/XUEg9ZkYu5"
"DukiSSJ","ARGENTINA EN LA CASA LA CONCHA DE LA LORA","Twitter for iPhone",0,1002,"LAS NUBES",2840074,"ARGENTINA EN LA CASA LA CONCHA DE LA LORA"
"DukiSSJ","YO TE REPRESENTÓ PAAAAA TRANKI","Twitter for iPhone",1692,8,"LAS NUBES",2840074,"@LuknCSGO YO TE REPRESENTÓ PAAAAA TRANKI"
"PauloLondra","De la otra ve 

#thefilmzone aaaa jajajaja jeh
#leonesconflow
#123 ","Instagram",2438,105,"",1741703,"De la otra ve 

#thefilmzone aaaa jajajaja jeh
#leonesconflow
#123 https://t.co/1Jz3JjDcmR"
"PauloLondra","Con chance me gano un grammy acordate","Twitter for iPhone",102023,3796,"",1741703,"Con chance me gano un grammy acordate"
"rusherkingg","Tratando de entenderte me gradué","Twitter for iPhone",16034,934,"Santiago del Estero, Argentina",854599,"Tratando de entenderte me gradué"
"DukiSSJ","chile te lo pido con todo mi corazón","Twitter for iPhone",0,5,"LAS NUBES",2840073,"@DukiSSJ chile te lo pido con todo mi corazón"
"emimernes_","gracias <U+0001F90D><U+0001F64F><U+0001F3FC> pueden votar acá mis amoresss ","Twitter for iPhone",4666,332,"Argentina",1017029,"gracias @premiolonuestro <U+0001F90D><U+0001F64F><U+0001F3FC> pueden votar acá mis amoresss https://t.co/Dh1ajWBshC https://t.co/6mp4Oghm9O"
"KiddKeo95Flames","Dejando correr mis pensamientos homicidas matutinos<U+263A><U+FE0F>","Twitter for iPhone",1359,181,"ROCKPORT",473625,"Dejando correr mis pensamientos homicidas matutinos<U+263A><U+FE0F>"
"tiagopzk","Te veo el domingo reyyy ","Twitter for iPhone",8424,272,"",1302318,"Te veo el domingo reyyy https://t.co/00jtQkHKR4"
"kheayf","Donde estás de Khea es un golpe muy duro","Twitter for iPhone",0,1429,"Argentina",1515685,"Donde estás de Khea es un golpe muy duro"
"rusherkingg","En marzo se pudre me dijeron","Twitter for iPhone",13876,351,"Santiago del Estero, Argentina",854599,"En marzo se pudre me dijeron"
"tiagopzk","Gracias a los que me defienden ante las pelotudeces que hablan los haters, los amo mucho pero no le den más cabida a los giles!","Twitter for iPhone",14681,276,"",1302318,"Gracias a los que me defienden ante las pelotudeces que hablan los haters, los amo mucho pero no le den más cabida a los giles!"
"kheayf","¡De Argentina para el mundo! Lo que trae está de locos. <U+0001F929> #PremioLoNuestro ","Twitter for iPhone",0,94,"Argentina",1515685,"¡De Argentina para el mundo! Lo que trae @kheayf está de locos. <U+0001F929> #PremioLoNuestro https://t.co/nSp9Gn3NiD"
"MariaBecerra22","<U+0001F64F><U+0001F3FD><U+0001F64F><U+0001F3FD><U+0001F64F><U+0001F3FD><U+0001F64F><U+0001F3FD><U+0001F64F><U+0001F3FD><U+0001F97A><U+0001F97A><U+0001F97A><U+0001F97A><U+0001F97A> ","Twitter for iPhone",3170,138,"",2294625,"<U+0001F64F><U+0001F3FD><U+0001F64F><U+0001F3FD><U+0001F64F><U+0001F3FD><U+0001F64F><U+0001F3FD><U+0001F64F><U+0001F3FD><U+0001F97A><U+0001F97A><U+0001F97A><U+0001F97A><U+0001F97A> https://t.co/FPWs7iZmKQ"
"KiddKeo95Flames","ALICANTEEE !!! 
#FARANDULAFEST
LO DE HOY VA A SER ESPECTACULAR !! 

RECUERDA QUE AUN PODEIS SACAR VUESTRAS ULTIMAS ENTRADAS EN TAQUILLA!!","Twitter for iPhone",205,3,"ROCKPORT",473625,"ALICANTEEE !!! 
#FARANDULAFEST
LO DE HOY VA A SER ESPECTACULAR !! 

RECUERDA QUE AUN PODEIS SACAR VUESTRAS ULTIMAS ENTRADAS EN TAQUILLA!!"
"kheayf","temon","Twitter for iPhone",1054,17,"Argentina",1515685,"@4ingratax temon"
"KiddKeo95Flames","No se puede perdonar al Pagano <U+274C><U+274C>","Twitter for iPhone",239,20,"ROCKPORT",473625,"No se puede perdonar al Pagano <U+274C><U+274C>"
"PauloLondra","#DiaDelAnimal:
Porque se celebra hoy en homenaje a Ignacio Albarracín, impulsor de la protección de los animales en Argentina ","Twitter for iPhone",0,492,"",1741703,"#DiaDelAnimal:
Porque se celebra hoy en homenaje a Ignacio Albarracín, impulsor de la protección de los animales en Argentina https://t.co/9ZRYpYlA1d"
"bizarrap","POV: rendiste un final oral y le preguntás al profe si aprobaste ","Twitter for iPhone",0,181,"Buenos Aires, Argentina",3278395,"POV: rendiste un final oral y le preguntás al profe si aprobaste https://t.co/WbwQMomIWd"
"DukiSSJ","PERUUUUU","Twitter for iPhone",0,8,"LAS NUBES",2840073,"@DukiSSJ PERUUUUU"
"PauloLondra","Me cree que toy ansioso por ensayar hoy ?","Twitter for iPhone",12692,313,"",1741703,"Me cree que toy ansioso por ensayar hoy ?"
"LITkillah","Hoy a las 7:30pm sale el video de #EseMensaje uno de mis temas favs del album<U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F> seguro un rato antes prenda stream con el eeeea","Twitter for iPhone",7853,357,"Argentina",1569130,"Hoy a las 7:30pm sale el video de #EseMensaje uno de mis temas favs del album<U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F> seguro un rato antes prenda stream con el @FMK026 eeeea"
"tiagopzk","Yo mas mi principe","Twitter for iPhone",7014,88,"",1302318,"@rusherkingg Yo mas mi principe"
"tiagopzk","FMK es el mejor artista de Argentina y este año es suyo","Twitter for iPhone",44622,1125,"",1302318,"FMK es el mejor artista de Argentina y este año es suyo"
"tiagopzk","Gracias doña<U+2764><U+FE0F> ","Twitter for iPhone",11457,137,"",1302318,"Gracias doña<U+2764><U+FE0F> https://t.co/0RvVgiGcKU"
"KiddKeo95Flames","Soy el niño más bonitOoOoo","Twitter for iPhone",1758,233,"ROCKPORT",473625,"Soy el niño más bonitOoOoo"
"LITkillah","Jajajajjajja perdo pero t regalaste, la venganza es dulce mirey ","Twitter for iPhone",72030,2542,"Argentina",1569130,"Jajajajjajja perdo @FMK026 pero t regalaste, la venganza es dulce mirey https://t.co/sEE5DbzAGT"
"kheayf","hace minutos se estrenó ' MATÓ MI CORAZÓN ' piso21, KHEA &amp; Marc seguí . ","Twitter for iPhone",0,48,"Argentina",1515685,"hace minutos se estrenó ' MATÓ MI CORAZÓN ' piso21, KHEA &amp; Marc seguí . https://t.co/RP0W5h4DyC"
"MariaBecerra22","Quien hizo eso?","Twitter for iPhone",175,8,"",2294625,"@gwsbecerra Quien hizo eso?"
"KiddKeo95Flames","Los ídolos van y vienen, solo recuerden quien estuvo ahí.","Twitter for iPhone",876,67,"ROCKPORT",473625,"Los ídolos van y vienen, solo recuerden quien estuvo ahí."
"tiagopzk","JAMAS!!! Hablo por los que dicen que trabajé con tal persona y NO LO HICE!","Twitter for iPhone",170,17,"",1302318,"@agxlady JAMAS!!! Hablo por los que dicen que trabajé con tal persona y NO LO HICE!"
"LITkillah","En 3 dias sale la verdadera PELI, el video de “En La Oscuridad” con 16/9 ROMPEMOS<U+0001F90D> #Mawz","Twitter for iPhone",10336,426,"Argentina",1569130,"En 3 dias sale la verdadera PELI, el video de “En La Oscuridad” con @MariaBecerra22 16/9 ROMPEMOS<U+0001F90D> #Mawz"
"TruenoOficiaI","17","Twitter for iPhone",13069,416,"Buenos Aires, Argentina",1348060,"17"
"MariaBecerra22","Maria Becerra para “Felices X Siempre”. <U+0001F525> ","Twitter for iPhone",0,225,"",2294625,"Maria Becerra para “Felices X Siempre”. <U+0001F525> https://t.co/0CNkVwkZVc"
"cazzuoficial","Que lindo vivir la historia <U+0001F970>. LAS AMO ","Twitter for iPhone",1955,69,"Buenos Aires, Argentina",1653203,"Que lindo vivir la historia <U+0001F970>. LAS AMO https://t.co/0RQozLC21t"
"tiagopzk","MAÑANA MUSICA NUEVA #GABBANA <U+2764><U+FE0F> la k tiro mañana es una nueva p mi estoy emocionada ojala les guste","Twitter for iPhone",0,44,"",1302318,"MAÑANA MUSICA NUEVA #GABBANA <U+2764><U+FE0F> la k tiro mañana es una nueva p mi estoy emocionada ojala les guste"
