"usuario","textoLcu","fuente","favs","rt","lugar","seguidores","texto_original"
"KiddKeo95Flames","Ya esta disponible mis esenciales con la revista ","Twitter for iPhone",236,4,"ROCKPORT",473625,"Ya esta disponible mis esenciales con la revista @GQSpain https://t.co/wkaannstkL"
"tiagopzk","Me duele extrañarte taaaanto","Twitter for iPhone",98000,15092,"",1302318,"Me duele extrañarte taaaanto"
"TruenoOficiaI","Amo a mi novia","Twitter for iPhone",73916,4833,"Buenos Aires, Argentina",1348060,"Amo a mi novia"
"LITkillah","cuando escuchen tu versaso van a flahsaaaar","Twitter for iPhone",10246,196,"Argentina",1569130,"@MariaBecerra22 cuando escuchen tu versaso van a flahsaaaar"
"tiagopzk","Mi bbb y yo ","Twitter for iPhone",5252,107,"",1302318,"Mi bbb y yo https://t.co/HGur833fHQ"
"rusherkingg","Te MMMMentiriaaAaa","Twitter for iPhone",11450,373,"Santiago del Estero, Argentina",854599,"Te MMMMentiriaaAaa"
"MariaBecerra22","#NuevaFotoDePerfil ","Twitter for iPhone",62302,862,"",2294625,"#NuevaFotoDePerfil https://t.co/34l09zarwh"
"KiddKeo95Flames","Y Mañana tenemos Concierto en Logroño.","Twitter for iPhone",456,4,"ROCKPORT",473625,"Y Mañana tenemos Concierto en Logroño."
"emimernes_","jajajjajajajaaj","Twitter for iPhone",3242,30,"Argentina",1017029,"@tiagopzk jajajjajajajaaj"
"rusherkingg","QUE TEMAZO","Twitter for iPhone",3638,54,"Santiago del Estero, Argentina",854599,"QUE TEMAZO"
"DukiSSJ","Luis Scola y la cultura de la viveza argentina. Impecable.
","Twitter for iPhone",0,1217,"LAS NUBES",2840074,"Luis Scola y la cultura de la viveza argentina. Impecable.
https://t.co/V8oxVnhDAp"
"bizarrap","YA ESTÁ EN SPOTIFY 

","Twitter for iPhone",27238,1201,"Buenos Aires, Argentina",3278395,"YA ESTÁ EN SPOTIFY 

https://t.co/oa9ONejkdl"
"kheayf","dale ke rompemo el Pal Norte tan listos??","Twitter for iPhone",4984,66,"Argentina",1515685,"dale ke rompemo el Pal Norte tan listos??"
"bizarrap","miércoles
#48 ","Twitter for iPhone",125418,8096,"Buenos Aires, Argentina",3278395,"miércoles
#48 https://t.co/NgS2xfP5Ob"
"tiagopzk","<U+0001F970><U+0001F60D>","Twitter for iPhone",850,15,"",1302318,"@fukintayson <U+0001F970><U+0001F60D>"
"KiddKeo95Flames","Sigueme en Twitch <U+0001F525>
","Twitter for iPhone",119,2,"ROCKPORT",473625,"Sigueme en Twitch <U+0001F525>
https://t.co/qShFP2xWT5"
"LITkillah","“Culo que resonga, pide poronga” tatuate esa amigo es mejor","Twitter for iPhone",9795,386,"Argentina",1569130,"@big_one_real “Culo que resonga, pide poronga” tatuate esa amigo es mejor"
